id,tx_line_length,voltage,state,region,owner,lon,lat
110903,301729.27657946857,765.0,New York,NE,NOT AVAILABLE,-75.20544255405329,44.44271358025614
129372,8556.671940512359,500.0,Pennsylvania,NE,PECO ENERGY CO,-75.33872271814919,40.18513556394907
109569,110496.6018151575,500.0,New Jersey,NE,NOT AVAILABLE,-74.89667434055302,39.74831156414164
110903,301729.27657946857,765.0,New York,NE,NOT AVAILABLE,-75.21039316958408,44.498059446924174
135887,157459.15374014553,500.0,Pennsylvania,NE,NOT AVAILABLE,-75.74458093469369,40.339165789000965
143442,100493.67319009152,500.0,Maryland,NE,NOT AVAILABLE,-76.81004493524559,39.49714106871746
137877,35174.694634009385,500.0,Maryland,NE,THE POTOMAC EDISON COMPANY,-77.44925896230346,39.28878673616108
131724,186363.80015318145,500.0,Pennsylvania,NE,NOT AVAILABLE,-76.05100301457317,40.47044835103299
146721,50629.56647755564,500.0,New Jersey,NE,ATLANTIC CITY ELECTRIC CO,-75.02126546292668,39.62887234670502
144843,93073.90518822204,500.0,Pennsylvania,NE,NOT AVAILABLE,-77.01536872658815,40.142853241037436
135887,157459.15374014553,500.0,Pennsylvania,NE,NOT AVAILABLE,-76.1649297852548,40.21954405071525
120472,92798.06638301637,500.0,Pennsylvania,NE,PPL ELECTRIC UTILITIES CORP,-76.6315062996628,40.883837767027295
143442,100493.67319009152,500.0,Maryland,NE,NOT AVAILABLE,-76.63405383197704,39.647922858805046
135887,157459.15374014553,500.0,Pennsylvania,NE,NOT AVAILABLE,-76.65887410361421,40.17644985875186
138454,235992.91462403352,500.0,Pennsylvania,NE,NOT AVAILABLE,-78.82581520513222,40.40910198989366
127046,42474.289245867534,500.0,New Jersey,NE,NOT AVAILABLE,-74.7332498623205,40.54251039221862
129943,42041.8152805813,500.0,Pennsylvania,NE,PPL ELECTRIC UTILITIES CORP,-75.38594266105895,40.49433865978671
110903,301729.27657946857,765.0,New York,NE,NOT AVAILABLE,-75.2762693243144,44.131365735972956
144843,93073.90518822204,500.0,Pennsylvania,NE,NOT AVAILABLE,-77.15764740561492,40.36376648424206
120472,92798.06638301637,500.0,Pennsylvania,NE,PPL ELECTRIC UTILITIES CORP,-76.43908698614135,40.94733799233259
131724,186363.80015318145,500.0,Pennsylvania,NE,NOT AVAILABLE,-76.86837685855683,40.399120669307145
109569,110496.6018151575,500.0,New Jersey,NE,NOT AVAILABLE,-74.64564876092747,40.16651553479054
